type	latitude	longitude	altitude (m)	color	opacity	width	name	desc	kml_folder
T	14.068887729	120.766483154	202.1						
T	14.069494801	120.767513341	207.6						
T	14.069902474	120.768751395	209.5						
T	14.070710034	120.769780421	213.4						
T	14.071720304	120.771221746	221.4						
T	14.072528952	120.772457493	225.6						
T	14.073137090	120.773694381	228.5						
T	14.073745220	120.774931265	230.4						
T	14.074352238	120.775961428	230.2						
T	14.075158649	120.776783726	237.7						
T	14.075969458	120.778432901	232.6						
T	14.076778057	120.779668636	250.5						
T	14.078192537	120.781727816	246.5						
T	14.079000019	120.782756836	206.8						
T	14.079808592	120.783992577	188.8						
T	14.080414470	120.784816025	207.8						
T	14.081020346	120.785639476	248.6						
T	14.081625126	120.786256212	265.8						
T	14.082634181	120.787490825	270.1						
T	14.084045325	120.788929893	251.6						
T	14.085053283	120.789957804	300.0						
T	14.086061238	120.790985723	300.1						
T	14.086464420	120.791396893	303.3						
T	14.087673962	120.792630407	309.6						
T	14.088279822	120.793453886	316.0						
T	14.088684089	120.794071781	322.0						
T	14.088886765	120.794484087	323.8						
T	14.089692039	120.795099726	311.5						
T	14.090699988	120.796127682	325.7						
T	14.091104252	120.796745585	334.6						
T	14.092112203	120.797773554	337.5						
T	14.093323910	120.799420570	347.8						
T	14.093526584	120.799832889	351.1						
T	14.094738288	120.801479928	360.2						
T	14.094942042	120.802098973	363.4						
T	14.095547894	120.802922503	367.8						
T	14.096356417	120.804158366	373.5						
T	14.097367612	120.805806573	378.1						
T	14.097774030	120.806837967	376.8						
T	14.098380960	120.807868251	381.4						
T	14.098583631	120.808280590	383.1						
T	14.098791691	120.809726561	388.5						
T	14.099198104	120.810757973	396.2						
T	14.099202413	120.811584880	402.2						
T	14.099408311	120.812617408	405.7						
T	14.099613132	120.813443211	409.2						
T	14.099013743	120.813859983	410.1						
T	14.098412201	120.813863300	402.7						
T	14.098010102	120.813658786	402.5						
T	14.096602218	120.812839634	399.6						
T	14.095795873	120.812017172	399.5						
T	14.093785406	120.810994655	392.7						
T	14.093180655	120.810377826	388.1						
T	14.092173814	120.809556507	375.9						
T	14.090762734	120.808117274	367.1						
T	14.089957483	120.807501581	351.3						
T	14.088749071	120.806474695	357.4						
T	14.088142165	120.805444475	348.0						
T	14.087135338	120.804623207	319.7						
T	14.086329011	120.803800830	315.3						
T	14.085521603	120.802771750	315.5						
T	14.084513696	120.801743797	302.7						
T	14.083103707	120.800511387	290.9						
T	14.082700543	120.800100213	273.2						
T	14.081692634	120.799072285	305.5						
T	14.081085717	120.798042118	312.7						
T	14.080075630	120.796600792	318.9						
T	14.079467617	120.795363928	305.1						
T	14.079063360	120.794746062	302.6						
T	14.078458606	120.794129324	280.2						
T	14.077045328	120.792276865	297.7						
T	14.076642155	120.791865711	314.3						
T	14.075632037	120.790424420	319.5						
T	14.074823499	120.789188708	340.4						
T	14.074216543	120.788158574	336.5						
T	14.073811175	120.787334016	318.0						
T	14.073002619	120.786098311	320.4						
T	14.072396745	120.785274886	319.1						
T	14.071385483	120.783626905	308.9						
T	14.070574704	120.781977789	284.1						
T	14.070172610	120.781773355	283.6						
T	14.069364017	120.780537653	287.2						
T	14.068553209	120.778888534	273.5						
T	14.067743490	120.777446122	253.7						
T	14.066731046	120.775591420	245.6						
T	14.065720798	120.774150141	230.7						
T	14.065112644	120.772913284	213.0						
T	14.064504481	120.771676425	201.1						
T	14.064300646	120.771057421	199.0						
T	14.064095697	120.770231697	194.6						
T	14.063488626	120.769201542	195.5						
T	14.063283668	120.768375811	183.9						
T	14.062878203	120.767551226	178.1						
T	14.062472732	120.766726634	174.4						
T	14.061865636	120.765696467	171.5						
T	14.061258531	120.764666290	168.9						
T	14.060653657	120.764049561	168.2						
